dominant_fate_state	velocity_self_transition
tumor_plasticity_basin	0.1365056
tumor_plasticity_basin	0.1793278
embryonic_like_plasticity_basin	0.16068721
inflammatory_regeneration_bridge	0.15030599
senescence_basin	0.12804535
senescence_basin	0.13671976
embryonic_like_plasticity_basin	0.13134909
senescence_basin	0.031459898
inflammatory_regeneration_bridge	0.17192754
inflammatory_regeneration_bridge	0.21320665
senescence_basin	0.12213373
inflammatory_regeneration_bridge	0.16491249
inflammatory_regeneration_bridge	0.1645322
inflammatory_regeneration_bridge	0.14320588
senescence_basin	0.14474094
senescence_basin	0.16767398
senescence_basin	0.11712107
inflammatory_regeneration_bridge	0.15822627
tumor_plasticity_basin	0.09962863
senescence_basin	0.15137398
senescence_basin	0.1831045
tumor_plasticity_basin	0.13511148
tumor_plasticity_basin	0.021016419
senescence_basin	0.23009716
inflammatory_regeneration_bridge	0.08879012
inflammatory_regeneration_bridge	0.098159194
senescence_basin	0.24169575
embryonic_like_plasticity_basin	0.08029169
embryonic_like_plasticity_basin	0.16150904
inflammatory_regeneration_bridge	0.055155873
tumor_plasticity_basin	0.22448365
embryonic_like_plasticity_basin	0.05611193
senescence_basin	0.3218945
embryonic_like_plasticity_basin	0.17064056
senescence_basin	0.09621507
senescence_basin	0.15260129
tumor_plasticity_basin	0.107957184
inflammatory_regeneration_bridge	0.12345123
embryonic_like_plasticity_basin	0.2003538
embryonic_like_plasticity_basin	0.08503598
inflammatory_regeneration_bridge	0.11963567
senescence_basin	0.09355897
senescence_basin	0.16275173
tumor_plasticity_basin	0.1759407
tumor_plasticity_basin	0.0
senescence_basin	0.22556081
inflammatory_regeneration_bridge	0.08371192
tumor_plasticity_basin	0.1409545
tumor_plasticity_basin	0.116371006
embryonic_like_plasticity_basin	0.25792074
tumor_plasticity_basin	0.23711267
tumor_plasticity_basin	0.108215064
inflammatory_regeneration_bridge	0.24417302
inflammatory_regeneration_bridge	0.3088565
senescence_basin	0.15782031
tumor_plasticity_basin	0.20298585
inflammatory_regeneration_bridge	0.16161278
senescence_basin	0.18617137
senescence_basin	0.084207
tumor_plasticity_basin	0.122354776
senescence_basin	0.23565443
tumor_plasticity_basin	0.15101796
tumor_plasticity_basin	0.115180165
inflammatory_regeneration_bridge	0.16898523
inflammatory_regeneration_bridge	0.11378068
senescence_basin	0.1556051
senescence_basin	0.1556779
senescence_basin	0.25005928
senescence_basin	0.18118453
inflammatory_regeneration_bridge	0.11601794
inflammatory_regeneration_bridge	0.1783269
tumor_plasticity_basin	0.13330439
tumor_plasticity_basin	0.104080915
tumor_plasticity_basin	0.17658554
inflammatory_regeneration_bridge	0.1828966
tumor_plasticity_basin	0.14748746
tumor_plasticity_basin	0.14746433
tumor_plasticity_basin	0.18698248
senescence_basin	0.22600727
embryonic_like_plasticity_basin	0.22649567
inflammatory_regeneration_bridge	0.1632546
senescence_basin	0.21665256
inflammatory_regeneration_bridge	0.091190696
tumor_plasticity_basin	0.16559567
tumor_plasticity_basin	0.10714844
inflammatory_regeneration_bridge	0.22395991
tumor_plasticity_basin	0.16174169
inflammatory_regeneration_bridge	0.1498568
embryonic_like_plasticity_basin	0.15097883
senescence_basin	0.15766177
senescence_basin	0.24621163
senescence_basin	0.094703585
inflammatory_regeneration_bridge	0.17562094
