latent_regime	bin_left	bin_right	bin_center	component_density	component_mass	weighted_component_density
embryonic_reactivation	2.3877629633530466	2.474567992291229	2.431165477822138	7.789024977379441e-07	0.3883486488197522	3.0248573255886067e-07
embryonic_reactivation	2.474567992291229	2.5613730212294126	2.517970506760321	4.697025122964807e-08	0.3883486488197522	1.824083359975813e-08
embryonic_reactivation	2.5613730212294126	2.648178050167596	2.6047755356985043	1.0050108722948266e-08	0.3883486488197522	3.902946143048564e-09
embryonic_reactivation	2.648178050167596	2.7349830791057785	2.6915805646366873	6.3861430246164965e-09	0.3883486488197522	2.480050014779502e-09
embryonic_reactivation	2.7349830791057785	2.821788108043962	2.7783855935748702	1.8368129631772147e-09	0.3883486488197522	7.133238323844765e-10
embryonic_reactivation	2.821788108043962	2.9085931369821454	2.8651906225130537	6.171410461638108e-10	0.3883486488197522	2.3966589140892423e-10
embryonic_reactivation	2.9085931369821454	2.995398165920328	2.9519956514512367	1.4993427822945098e-09	0.3883486488197522	5.822677436217207e-10
embryonic_reactivation	2.995398165920328	3.0822031948585114	3.0388006803894196	1.2274895348487828e-10	0.3883486488197522	4.766939022989109e-11
embryonic_reactivation	3.0822031948585114	3.169008223796695	3.125605709327603	6.982440020172095e-11	0.3883486488197522	2.711621147298796e-11
embryonic_reactivation	3.169008223796695	3.255813252734878	3.2124107382657865	4.1214088878227326e-12	0.3883486488197522	1.6005435728196757e-12
embryonic_reactivation	3.255813252734878	3.3426182816730616	3.29921576720397	1.4205333151287074e-12	0.3883486488197522	5.516621935336768e-13
embryonic_reactivation	3.3426182816730616	3.4294233106112433	3.3860207961421525	5.136313489532878e-11	0.3883486488197522	1.9946804035747595e-11
embryonic_reactivation	3.4294233106112433	3.5162283395494267	3.472825825080335	1.8854077873624241e-13	0.3883486488197522	7.321955666964361e-14
embryonic_reactivation	3.5162283395494267	3.60303336848761	3.5596308540185184	3.4585087633212567e-14	0.3883486488197522	1.343107205167082e-14
embryonic_reactivation	3.60303336848761	3.6898383974257936	3.646435882956702	5.6677902810281466e-15	0.3883486488197522	2.2010786974310044e-15
embryonic_reactivation	3.6898383974257936	3.7766434263639765	3.7332409118948853	8.929661422354548e-14	0.3883486488197522	3.467821947789255e-14
salamander_blastema	-4.817054438516154	-4.73024940957797	-4.773651924047062	0.0039210614791148155	0.0890119805301082	0.0003490214480363252
salamander_blastema	-4.73024940957797	-4.643444380639788	-4.686846895108879	0.002800674677952385	0.0890119805301082	0.00024929359990506474
salamander_blastema	-4.643444380639788	-4.556639351701604	-4.600041866170696	0.0016804528946875962	0.0890119805301082	0.00014958044034369628
salamander_blastema	-4.556639351701604	-4.469834322763421	-4.513236837232513	0.0033608472218390533	0.0890119805301082	0.00029915566747500604
salamander_blastema	-4.469834322763421	-4.383029293825238	-4.42643180829433	0.00445195001380611	0.0890119805301082	0.0003962768879499244
salamander_blastema	-4.383029293825238	-4.296224264887055	-4.339626779356147	0.0038132235823471238	0.0890119805301082	0.0003394225832688316
salamander_blastema	-4.296224264887055	-4.209419235948872	-4.252821750417963	0.0055494801992163265	0.0890119805301082	0.0004939702234448647
salamander_blastema	-4.209419235948872	-4.122614207010689	-4.16601672147978	0.002236128302110715	0.0890119805301082	0.00019904220889030286
salamander_blastema	-4.122614207010689	-4.035809178072506	-4.079211692541597	0.002797391448212493	0.0890119805301082	0.0002490013531233816
salamander_blastema	-4.035809178072506	-3.949004149134322	-3.992406663603414	0.0050368400783641605	0.0890119805301082	0.0004483391109886193
salamander_blastema	-3.949004149134322	-3.862199120196139	-3.9056016346652305	0.003914736126125669	0.0890119805301082	0.00034845841583920926
salamander_blastema	-3.862199120196139	-3.775394091257956	-3.818796605727048	0.002799236723725415	0.0890119805301082	0.0002491656047514105
salamander_blastema	-3.775394091257956	-3.688589062319773	-3.7319915767888645	0.005150744350385174	0.0890119805301082	0.0004584779558320499
