tumor_like_quartile	differentiation_score
other tumor cells	-0.38405112278314285
top tumor-like quartile	-0.27762367401594
other tumor cells	-0.36865961993182145
other tumor cells	-0.24454340522671925
other tumor cells	-0.3279971605465736
other tumor cells	-0.35847871097517603
top tumor-like quartile	-0.2698828614788291
other tumor cells	-0.1834646272070614
other tumor cells	0.28630382926375775
other tumor cells	0.7583803953947845
other tumor cells	-0.15003184330316238
other tumor cells	-0.3079620172948013
other tumor cells	-0.200643445238655
other tumor cells	0.49549426561520427
other tumor cells	0.4203699312092346
other tumor cells	-0.1586125220781491
other tumor cells	1.005600658463843
other tumor cells	0.02246227087797939
other tumor cells	0.10056369687304084
other tumor cells	-0.22347527963143807
other tumor cells	1.7465300618866344
other tumor cells	0.12720957508793587
top tumor-like quartile	-0.32210604496944095
other tumor cells	0.3842522891951196
top tumor-like quartile	-0.22420565287272134
other tumor cells	-0.07831114604149336
other tumor cells	-0.14761483227765118
other tumor cells	0.39921771155463326
other tumor cells	-0.2661494266839675
top tumor-like quartile	-0.219572396925938
top tumor-like quartile	-0.27470346144687985
other tumor cells	-0.13228786138840665
top tumor-like quartile	-0.3310121842372565
other tumor cells	0.2385244781588331
other tumor cells	-0.12844078040417328
other tumor cells	-0.15171324912412668
other tumor cells	0.04206726874834227
other tumor cells	-0.23878681512526523
other tumor cells	0.11454603995805904
top tumor-like quartile	-0.17920920142421015
other tumor cells	0.16599750518798828
top tumor-like quartile	-0.2605019999139103
top tumor-like quartile	-0.2769059693371808
other tumor cells	-0.23851427619839893
top tumor-like quartile	-0.27218844566816164
other tumor cells	0.1669336719277464
other tumor cells	-0.15505731252976407
other tumor cells	-0.2342126163435571
other tumor cells	-0.1940855450100369
other tumor cells	-0.022967821286048434
other tumor cells	-0.18179519676867825
other tumor cells	-0.2004696101318171
top tumor-like quartile	-0.21357030044367284
top tumor-like quartile	-0.0679640593352141
other tumor cells	-0.036016096303492395
other tumor cells	-0.3480267936800733
other tumor cells	-0.32270014727557145
other tumor cells	-0.013633248246746305
other tumor cells	0.9045590530207127
top tumor-like quartile	-0.2234455273475176
other tumor cells	-0.26563809241777586
other tumor cells	-0.24281219199851709
other tumor cells	-0.118310233693064
top tumor-like quartile	0.3850324006728184
other tumor cells	-0.2312612651306906
top tumor-like quartile	0.13949622636959874
top tumor-like quartile	-0.1305308018201663
top tumor-like quartile	0.2435966479925462
other tumor cells	-0.22771804715380256
top tumor-like quartile	-0.2052364216910468
top tumor-like quartile	-0.3065790938742367
other tumor cells	-0.3152817620171441
other tumor cells	-0.2573435645044586
top tumor-like quartile	0.1520043096424621
top tumor-like quartile	-0.2859733016402633
top tumor-like quartile	-0.2174564349798509
other tumor cells	-0.3799578584270713
top tumor-like quartile	-0.07730828979868948
other tumor cells	-0.3186829178421586
other tumor cells	-0.15115107430352104
other tumor cells	-0.15934630529380137
other tumor cells	0.05391755810490359
other tumor cells	-0.29730467148769046
top tumor-like quartile	0.06636929512023926
other tumor cells	-0.2876122792561849
other tumor cells	-0.18219799465603298
other tumor cells	-0.01185072792900932
other tumor cells	1.2902934698410975
top tumor-like quartile	-0.31643445992175445
other tumor cells	-0.2342791380705657
other tumor cells	0.19048628983674226
top tumor-like quartile	-0.15524875381846487
other tumor cells	-0.12587181138403622
other tumor cells	-0.2912849614649643
other tumor cells	-0.1956141201066382
top tumor-like quartile	0.00573080115848118
other tumor cells	-0.15966550803478854
other tumor cells	-0.07293519856017311
other tumor cells	-0.07146132581027939
other tumor cells	0.12293633119559583
other tumor cells	-0.3085524712079837
other tumor cells	-0.19068174008969907
top tumor-like quartile	-0.27263712882995605
other tumor cells	-0.16455975285282842
other tumor cells	-0.22403344990294657
top tumor-like quartile	-0.08852797084384495
other tumor cells	0.10045117213402266
other tumor cells	-0.06781893306308323
other tumor cells	-0.18842153195981626
other tumor cells	-0.30776558393313563
top tumor-like quartile	-0.1303704432499262
other tumor cells	0.05212902728422192
other tumor cells	0.06960004936029884
other tumor cells	-0.16958737079008127
other tumor cells	-0.25627034976158614
top tumor-like quartile	-0.06327979652969923
other tumor cells	0.08234293961230621
top tumor-like quartile	-0.42073991563585067
top tumor-like quartile	-0.2951474601839795
top tumor-like quartile	-0.09390801559259862
other tumor cells	-0.22531912061903211
top tumor-like quartile	-0.12311016777415337
other tumor cells	-0.22693330270272713
other tumor cells	-0.21965721507131317
top tumor-like quartile	-0.2467363852041739
top tumor-like quartile	-0.29288193031593607
other tumor cells	-0.2144691561475212
other tumor cells	-0.04606420905501754
other tumor cells	-0.254520704716812
top tumor-like quartile	-0.3039243957142771
other tumor cells	0.5218010243074394
other tumor cells	-0.03643114478499801
other tumor cells	-0.17509737721195925
top tumor-like quartile	-0.31506886894320263
other tumor cells	-0.2500625363102666
top tumor-like quartile	0.13969670990366995
other tumor cells	-0.09436394255838276
other tumor cells	-0.2516018902813947
other tumor cells	-0.15280171382574387
other tumor cells	-0.053384203969696425
top tumor-like quartile	-0.3301870322521822
other tumor cells	1.0275032608597368
other tumor cells	0.7087472279866536
other tumor cells	0.11454414732662246
other tumor cells	0.12697658126736866
other tumor cells	0.36598433977291905
other tumor cells	-0.04501718356285567
top tumor-like quartile	-0.19126922701611931
other tumor cells	-0.20802129639519587
top tumor-like quartile	-0.3030340642104914
other tumor cells	-0.0754813912474079
other tumor cells	0.5426745826815381
other tumor cells	-0.23151972264419368
other tumor cells	0.7367358266571422
other tumor cells	-0.1998313621238426
other tumor cells	-0.1451702441698239
top tumor-like quartile	0.06337750105210294
other tumor cells	-0.24081135973518278
other tumor cells	-0.1399298420658818
top tumor-like quartile	-0.2568787939754533
top tumor-like quartile	-0.3700865286367911
other tumor cells	-0.04215192500455878
other tumor cells	-0.22666919378586758
top tumor-like quartile	-0.25562512433087387
top tumor-like quartile	-0.3062912505349995
other tumor cells	-0.19213805963963637
top tumor-like quartile	-0.22057520460199426
top tumor-like quartile	-0.2869850912211854
other tumor cells	-0.19608575326425057
other tumor cells	-0.31143786583417726
other tumor cells	0.9832384203687126
other tumor cells	-0.2044524911009235
other tumor cells	0.16923381958478761
other tumor cells	-0.12236980155662254
other tumor cells	-0.07329422750590758
other tumor cells	-0.2108223526566117
other tumor cells	-0.24299631001036845
top tumor-like quartile	-0.20915765085338076
other tumor cells	0.35598185621661904
other tumor cells	-0.2705246725200135
other tumor cells	-0.18989360479660977
other tumor cells	-0.21807432616198508
other tumor cells	-0.2851734867802373
other tumor cells	-0.18808089362250435
other tumor cells	-0.2915432401645331
other tumor cells	-0.2497211267918716
other tumor cells	-0.21627786424424914
other tumor cells	-0.18353502250012058
other tumor cells	-0.27207059036066505
other tumor cells	-0.20548987682954764
top tumor-like quartile	0.06383281283908421
other tumor cells	-0.023311985863579632
other tumor cells	-0.3170834294071904
top tumor-like quartile	-0.1705264706670502
top tumor-like quartile	-0.05585583051045734
other tumor cells	-0.24123222445264275
top tumor-like quartile	-0.1294155032546432
other tumor cells	-0.20554700309847607
other tumor cells	0.004333242957974659
other tumor cells	-0.08073241328015737
other tumor cells	1.0588967240886924
other tumor cells	-0.07431178328431684
other tumor cells	0.06669098653911071
other tumor cells	-0.17471754992449726
other tumor cells	0.14582297831405827
other tumor cells	-0.25927239288518455
other tumor cells	-0.1890980167153441
top tumor-like quartile	-0.10855996755906094
top tumor-like quartile	-0.2776507860348548
other tumor cells	-0.2637382554419247
top tumor-like quartile	0.2059463748225459
other tumor cells	-0.31002383761935765
top tumor-like quartile	-0.1769527064429389
other tumor cells	-0.1533553394270532
other tumor cells	-0.23513582017686632
other tumor cells	-0.045742873792295136
