tumor_like_quartile	stemness_score
other tumor cells	-0.4855150407360446
other tumor cells	0.9807659195315453
other tumor cells	1.124718346903401
other tumor cells	-0.1617637622740961
other tumor cells	-0.23588377429592994
other tumor cells	1.091823850908587
other tumor cells	0.6532541359624555
other tumor cells	-0.30882909221033894
other tumor cells	-0.36385730005079703
other tumor cells	1.034189401134368
other tumor cells	1.1277570993669572
top tumor-like quartile	1.4628703748026202
other tumor cells	1.0673698686784312
other tumor cells	-0.5437293514128654
other tumor cells	-0.32401763575692333
other tumor cells	-0.5390853881835938
top tumor-like quartile	1.4097137681899532
other tumor cells	0.7190991524727114
other tumor cells	0.6078185554473631
other tumor cells	0.8247474047445482
other tumor cells	0.8401196041414815
other tumor cells	-0.5393618922079763
other tumor cells	-0.03597510053265479
other tumor cells	1.0969458356980355
other tumor cells	1.0913076362302228
other tumor cells	-0.130271973148469
other tumor cells	0.167741221766318
other tumor cells	-0.5667258847144342
other tumor cells	-0.3752025481193296
other tumor cells	0.22252019566874348
other tumor cells	0.4369582533836365
other tumor cells	-0.5788429629418158
top tumor-like quartile	-0.3370867611900452
other tumor cells	0.8539480355478102
top tumor-like quartile	0.9796457175285586
other tumor cells	-0.1954354384253102
other tumor cells	0.5044536821303829
other tumor cells	0.697314731536373
other tumor cells	-0.39785772754300025
top tumor-like quartile	1.240760991650243
top tumor-like quartile	-0.3713332760718561
other tumor cells	0.6252851140114569
top tumor-like quartile	1.3852802784212175
other tumor cells	-0.05120795965194702
other tumor cells	1.148393584835914
other tumor cells	0.7960823043700187
other tumor cells	0.9495352545092183
other tumor cells	-0.5127159856980846
other tumor cells	0.47811536442848945
top tumor-like quartile	1.4066828527758197
other tumor cells	-0.2999417704920615
top tumor-like quartile	0.8793547422655167
top tumor-like quartile	0.5704891720125752
other tumor cells	0.8913673316278765
top tumor-like quartile	1.2161933952762234
other tumor cells	0.7925277986834126
other tumor cells	0.7233641109158916
other tumor cells	-0.5057503484910534
other tumor cells	-0.2964031773228799
other tumor cells	-0.44008587252709175
other tumor cells	0.6312496277593798
other tumor cells	-0.42172148919874625
top tumor-like quartile	0.05483268345555947
top tumor-like quartile	1.239337859615203
other tumor cells	1.2165587102213213
other tumor cells	0.8002959797459264
other tumor cells	-0.07523414300334069
other tumor cells	-0.3884079840875441
other tumor cells	0.2526023272545107
top tumor-like quartile	0.7495384370127032
other tumor cells	0.7628680621424029
other tumor cells	-0.49502864960701237
other tumor cells	0.09459117920167986
top tumor-like quartile	1.5318934148357761
other tumor cells	-0.28519356635309034
top tumor-like quartile	1.2684253146571498
top tumor-like quartile	1.408224936454527
top tumor-like quartile	1.3326546338296705
other tumor cells	0.07071030812878762
top tumor-like quartile	1.2299057168345298
top tumor-like quartile	0.9898413958088044
other tumor cells	0.04008980720273908
other tumor cells	0.6903102820919406
top tumor-like quartile	1.2607024254337433
top tumor-like quartile	1.3121998656180596
top tumor-like quartile	1.1652043865573023
other tumor cells	-0.441718019304737
top tumor-like quartile	1.193632302745696
other tumor cells	0.09891003370285034
other tumor cells	0.8297432468783471
other tumor cells	1.1030350808174378
other tumor cells	-0.08418265465767152
other tumor cells	-0.31113587656328756
top tumor-like quartile	1.0646209216886953
other tumor cells	-0.17578993593492814
other tumor cells	1.3046756905894126
other tumor cells	-0.42330529612879597
other tumor cells	0.9484373138796899
top tumor-like quartile	0.7614030876467305
other tumor cells	-0.12224226613198558
other tumor cells	1.4548871670999834
top tumor-like quartile	1.6165890386027675
other tumor cells	0.08734019148734307
other tumor cells	-0.3325107635990266
other tumor cells	-0.3691540687314926
top tumor-like quartile	1.739485402261057
other tumor cells	0.3384023731754672
other tumor cells	-0.5232329830046623
other tumor cells	0.13914797479106533
other tumor cells	1.1126047411272602
other tumor cells	-0.3148783589563062
other tumor cells	0.3250708791517442
top tumor-like quartile	0.9400832653045654
other tumor cells	-0.3830964180731004
other tumor cells	-0.14179442871001458
top tumor-like quartile	0.9708205807593561
other tumor cells	-0.4356925102972215
other tumor cells	0.9255641891110328
other tumor cells	0.090825762479536
other tumor cells	-0.3831341035904423
top tumor-like quartile	1.0522402871039604
other tumor cells	0.9624094732346073
other tumor cells	-0.19812868535518646
other tumor cells	0.29606271270782714
other tumor cells	-0.4102453517336999
top tumor-like quartile	0.8733693169009301
other tumor cells	0.8655394584901871
top tumor-like quartile	-0.49728473540275325
top tumor-like quartile	1.1817423566695182
top tumor-like quartile	1.4756506258441555
other tumor cells	0.1108767476774031
top tumor-like quartile	1.3943743551931074
other tumor cells	-0.3884465925155147
other tumor cells	0.15544147068454373
